Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany,JobLevel,JobInvolvement,JobRole,OverTime
41.09161858762144,No,Research & Development,8.921305861372073,2,Other,4,4,Single,19572.92791739639,7.67298100306359,3,1.2930240884946715,4,4,Research Scientist,No
45.35993670523625,Yes,Sales,9.11598226606671,2,Medical,3,4,Single,9679.993551498588,1.1872046085767602,3,9.383988421594527,2,4,Sales Executive,No
34.2914712660003,Yes,Sales,18.372183449466032,3,Marketing,1,4,Single,5160.377819783558,7.811402519195649,2,4.97040570845546,1,2,Sales Executive,Yes
35.67839605718775,No,Research & Development,1.8479966025062586,4,Life Sciences,3,2,Single,5552.197250233575,9.161238465622901,3,15.412608596699311,1,2,Research Scientist,No
35.51274049563865,No,Research & Development,11.45299585292047,4,Life Sciences,3,3,Married,4705.779873625084,8.917153006469963,3,2.8468783561226054,1,3,Research Scientist,No
49.792160095323574,No,Research & Development,27.36714029194995,3,Life Sciences,4,1,Married,16940.51161644302,4.021801842655593,3,2.793339482311941,4,2,Research Scientist,No
27.565195285428622,No,Research & Development,3.0844417017168486,3,Medical,3,3,Divorced,2242.7820832316365,1.0247017863780479,2,0.76850046201019,1,3,Research Scientist,Yes
33.64433346773238,No,Sales,17.422820904407228,3,Medical,3,3,Married,4746.813793063603,0.9025774975696789,3,5.252107506578012,1,3,Sales Executive,No
35.75837453663851,No,Sales,2.745368994651141,3,Medical,1,4,Married,7885.871399798875,-0.06307113651339459,3,8.917906279792367,2,2,Sales Executive,No
52.67538878669539,No,Research & Development,7.187000751630001,3,Life Sciences,3,3,Married,14686.84067506055,2.8485370716453406,3,4.548660291958834,3,3,Research Scientist,No
34.79353928523679,No,Research & Development,1.0901741526517497,3,Medical,2,1,Married,2353.0891496681343,4.038516800134241,2,3.191646663221134,1,2,Research Scientist,Yes
45.197302429912355,No,Sales,2.6255775088248225,3,Other,4,2,Married,4922.403638433715,0.07341007120435351,4,7.814461826961257,1,3,Sales Executive,No
33.61968833638522,No,Research & Development,27.156531228162454,2,Medical,4,2,Single,2262.652948829422,1.7394954283013924,3,3.3883989494938627,1,3,Research Scientist,No
34.84472734857657,No,Research & Development,8.32250034239102,2,Medical,2,3,Single,6023.553068194433,3.110108389254329,3,4.670593715840132,2,2,Research Scientist,No
26.833427270113322,No,Research & Development,8.672126216229458,3,Medical,4,2,Divorced,1871.8973309077946,5.8713106765606256,1,1.5381143707252103,1,3,Research Scientist,Yes
34.08074039745065,No,Research & Development,3.1057706753009864,1,Life Sciences,1,4,Single,7722.507520007538,-0.007076888149364334,2,6.134352029052237,2,2,Research Scientist,Yes
50.76709251286323,No,Sales,1.6334697950350838,3,Life Sciences,4,3,Married,6468.222207349804,-0.014819304997860445,3,18.45611601394246,2,4,Sales Executive,No
24.38300406570386,No,Research & Development,24.455582926124194,3,Medical,4,2,Single,3602.6972370068324,8.047132027570708,3,3.82040432241654,1,3,Research Scientist,No
34.65255604904497,No,Research & Development,21.652156767663683,3,Life Sciences,4,3,Single,4387.918845433511,0.03576141428237424,3,4.775402523723338,1,4,Research Scientist,No
34.029712668111884,No,Research & Development,2.470874040538547,2,Life Sciences,4,3,Single,3826.6709637374342,2.0446691120084504,2,3.4314594677994275,1,4,Research Scientist,Yes
27.47774532357683,No,Research & Development,4.006808651445549,2,Life Sciences,1,3,Divorced,2774.5567302347963,1.0702095795185782,3,4.815584243145314,1,2,Research Scientist,No
34.68109017105064,No,Sales,1.0201438413929829,3,Marketing,4,4,Married,2015.4942520719042,1.1667438865211917,3,2.1236154853016105,1,4,Sales Executive,No
47.04574581688522,No,Research & Development,3.1451392703020606,3,Life Sciences,3,2,Divorced,10156.360340622321,8.15546924818424,3,20.875934080519745,2,2,Research Scientist,No
30.707538760618636,No,Research & Development,8.877523608172424,2,Medical,4,3,Single,2274.6423071328923,0.8839931599928794,3,10.30275925570083,1,4,Research Scientist,No
39.8984159308337,No,Research & Development,9.239973581001692,4,Medical,4,2,Divorced,3539.137286861441,8.085700540936866,3,1.2326624632544045,1,3,Research Scientist,No
39.341249899339594,Yes,Sales,23.21103866422077,3,Life Sciences,2,2,Single,13381.812396712134,4.135072750870407,2,0.7106241301265972,3,2,Sales Executive,Yes
56.76136293632287,No,Research & Development,1.3077548744922702,2,Life Sciences,1,1,Married,1699.5890821666094,1.8324731153822855,4,3.4220437886384563,1,1,Research Scientist,No
38.603384275880806,No,Sales,6.161450757719096,3,Medical,4,3,Married,8147.886131147821,1.9386196397448874,3,7.250846694466151,2,4,Sales Executive,No
28.849072633391195,Yes,Human Resources,13.524849118123052,3,Human Resources,1,1,Divorced,2182.0975599945186,4.131098025451068,3,1.7389355730520855,1,1,HR Specialist,No
52.18213836613766,No,Sales,1.6617229403316425,4,Life Sciences,1,3,Single,19071.207958450155,0.7405372051266227,4,33.528069570325485,4,2,Sales Executive,No
31.813201531274434,Yes,Sales,1.544739575210116,3,Life Sciences,4,2,Single,1988.194898164642,1.04497586212826,4,3.3713908975733533,1,3,Sales Executive,No
27.808180600849276,No,Sales,3.9973779831338656,3,Medical,2,3,Married,4175.130594822457,0.774211802592123,4,5.365282479987179,1,2,Sales Executive,No
58.109990791798246,Yes,Research & Development,1.433969356079563,4,Life Sciences,4,2,Single,19345.531267606188,6.916512453390333,3,31.190072782402062,4,3,Research Scientist,No
19.42705312625089,Yes,Research & Development,3.872613037783503,3,Technical Degree,1,1,Single,3013.097644668712,0.9527695847548096,3,1.2425338066756972,1,1,Research Scientist,No
22.652056369815348,Yes,Sales,6.52604569979433,3,Life Sciences,3,4,Divorced,2372.5087705590345,1.1410206925683952,3,3.156750871320984,1,4,Sales Executive,No
30.759223914718515,Yes,Human Resources,17.899229986510818,5,Human Resources,4,1,Married,2591.440209937772,-0.026492170831483027,3,0.9800020494325486,1,2,HR Specialist,No
37.47851074592865,No,Sales,2.225737351454582,2,Life Sciences,2,1,Divorced,6858.206237299667,3.1951127720250208,3,6.660714084827692,2,2,Sales Executive,No
49.121396476306366,No,Research & Development,17.685290381856458,4,Life Sciences,4,4,Divorced,6794.144028210619,0.8849201544490134,3,7.192447836908628,2,4,Research Scientist,No
19.7064440278586,Yes,Research & Development,11.686410942022091,3,Medical,4,1,Single,2414.613050741701,1.0475597144593947,3,0.9750657045235055,1,2,Research Scientist,No
42.778913291344075,Yes,Research & Development,2.621111572481294,3,Life Sciences,1,1,Married,2655.075989819927,3.8356760454832157,4,2.887036125301882,1,1,Research Scientist,No
36.89706735246585,Yes,Research & Development,9.356728649646708,3,Medical,1,3,Divorced,9963.251916250358,5.955748432862484,3,0.7327627159969967,2,2,Research Scientist,No
23.149317137888136,Yes,Sales,6.809985760580785,3,Life Sciences,3,4,Divorced,2094.0791322395035,1.1746042142343287,3,3.5620244532316723,1,4,Sales Executive,No
20.710847084952192,Yes,Research & Development,5.612247451768762,3,Life Sciences,4,4,Single,3315.3491501281155,1.1767451657653987,3,0.9123315864388721,1,4,Research Scientist,No
48.48844781273662,Yes,Sales,10.579562486573018,3,Marketing,3,4,Married,7422.2578118240335,1.2384622531995553,4,9.168846273522037,2,4,Sales Executive,No
40.7287528248878,No,Research & Development,9.248417016633821,4,Other,3,3,Divorced,4060.8612341754365,2.949006914248715,4,7.726335892689,1,3,Research Scientist,No
20.50712277929652,Yes,Sales,8.571639458595884,3,Marketing,4,4,Single,2439.4649665241814,1.048292192482253,3,1.941551721673107,1,4,Sales Executive,No
19.974990760119844,Yes,Research & Development,9.988195510735252,1,Medical,4,3,Single,1059.8331271502218,0.9029417183644854,3,1.292235832388571,1,4,Research Scientist,No
40.54763592970945,Yes,Research & Development,8.756396989721269,4,Life Sciences,4,1,Single,2221.1788564594153,2.8652091768555934,1,4.640234573683177,1,2,Research Scientist,Yes
30.898814983990203,Yes,Sales,1.9560132118845934,3,Life Sciences,3,4,Single,2815.2899052068196,6.969882417753095,4,0.9445598344369333,1,4,Sales Executive,No
24.98388364116162,Yes,Sales,24.382223236721874,1,Life Sciences,3,4,Single,1004.8685455060438,0.9031936013351173,3,0.4621565285466752,1,4,Sales Executive,No
43.99645830350517,No,Research & Development,20.1422946267679,3,Life Sciences,4,2,Single,3585.2918304562645,1.0977465232514607,2,5.236666293969668,1,3,Research Scientist,Yes
25.96331567262625,Yes,Research & Development,16.43802347734492,4,Medical,1,2,Divorced,2019.2112029469563,2.260222990055585,3,3.2314320327641157,1,2,Research Scientist,No
23.137016633777453,No,Research & Development,12.007866527075967,2,Other,4,4,Single,2413.1961889755526,0.9513912188569107,4,4.710613674305725,1,4,Research Scientist,No
38.34513368214776,No,Research & Development,1.71677778765698,1,Life Sciences,3,1,Single,2846.2146191588376,2.9174846358476554,2,0.0,1,2,Research Scientist,Yes
30.60369043145516,No,Human Resources,7.230290555852029,2,Medical,4,2,Single,2104.443862468715,8.866492542603996,3,3.050947839883073,1,3,HR Specialist,No
34.59545537586724,No,Sales,2.2872127619400864,3,Marketing,4,4,Married,1859.7891085880096,0.9406731199004192,3,2.1322641260447073,1,4,Sales Executive,No
44.90362845763815,Yes,Sales,26.402979564883527,4,Life Sciences,1,1,Married,4472.145319151824,1.8882527900964794,3,1.3787466595384117,1,1,Sales Executive,No
36.176257445199795,No,Sales,3.025471221807752,4,Medical,1,4,Married,9952.014662213656,4.1019733980079485,3,12.582692722560953,2,2,Sales Executive,No
41.086347328120034,No,Sales,4.025851325177632,1,Marketing,3,3,Divorced,10558.71037840317,-0.14478419303505763,4,22.354735474168436,2,3,Sales Executive,No
40.58893584477852,No,Research & Development,1.0,4,Life Sciences,1,1,Divorced,16714.14041671765,1.8054877252188173,3,19.068252501533394,4,1,Research Scientist,No
34.21581843818969,No,Sales,3.276959592742544,3,Other,4,1,Single,4573.629512544992,2.902894934952636,3,13.455014441050428,1,2,Sales Executive,No
40.214203055166244,No,Sales,23.03473670824388,2,Life Sciences,4,3,Single,7177.739210738084,2.845144558631742,3,2.018928378690286,2,4,Sales Executive,No
27.232257328596997,No,Sales,2.3089051900481627,4,Marketing,2,2,Married,4958.45318417218,1.0200179756581778,3,8.436215384420318,1,2,Sales Executive,No
23.066479495833526,No,Sales,2.281361344513099,1,Technical Degree,3,1,Divorced,1968.6006860721195,2.988070681743047,3,0.48311293844661984,1,2,Sales Executive,No
34.92048460874902,Yes,Research & Development,22.660696117409255,2,Life Sciences,2,3,Married,5938.501766824192,3.0376986118973797,3,1.3220881163134501,2,2,Research Scientist,No
